postal_code;viviendas_en_venta;precio_venta_medio;poblacion_km2_CP;metros_cuadrados_promedio;renta_media_hogar;distancia_centro_Madrid_promedio;pois_comunitarios_g;pois_BigBusiness_G
28640;37;211978;55;134;20619;63975;15;0
28648;9;188111;376;141;20351;65111;0;0
28649;6;824150;18;164;18205;67525;4;0
28650;12;117742;30;147;19709;67478;7;0
28660;107;1046050;1418;321;58780;16253;59;0
28668;6;1753333;885;683;82996;12020;2;0
28669;97;1628641;880;457;82072;16476;32;0
28670;86;942867;425;328;56459;18464;59;0
28679;4;741000;59;296;64675;20795;0;0
28680;63;234433;74;158;24560;58292;16;0
28690;41;461527;221;174;36859;24759;35;0
28691;53;771258;673;273;49573;25071;27;0
28692;12;1562833;464;578;85264;21320;0;0
28693;24;366088;135;188;31479;29863;12;0
28694;10;562880;92;312;28534;43100;17;0
28695;16;345994;58;205;24453;47172;9;0
28696;35;283303;349;215;21483;53659;7;0
28701;41;427822;17980;102;33758;16023;71;0
28702;33;493680;2549;131;43369;17891;41;0
28703;58;364481;1097;94;39193;16108;99;8
28706;4;952750;2142;197;69883;23673;4;0
28707;77;2027494;341;605;86212;23971;8;0
28708;26;1280000;476;413;89015;21841;5;0
28709;1;1050000;11;700;89015;21466;0;0
28710;22;340947;182;202;27134;36363;15;0
28720;11;295291;45;170;26857;49027;9;0
28721;8;339250;38;219;34243;45798;7;0
28722;2;192000;59;60;24980;40613;4;0
28723;10;280190;209;188;31783;37755;11;0
28729;20;440010;114;228;38044;43825;11;0
28730;7;679571;73;280;29358;64226;10;0
28737;8;472550;10;216;37195;68441;5;0
28739;6;254000;9;181;23260;61381;6;0
28740;8;195138;15;123;28936;56226;3;0
28741;2;1350000;2;431;28936;53199;0;0
28742;3;308333;10;163;28419;60040;4;0
28743;2;200750;9;292;26354;57248;5;0
28749;11;360555;13;180;27909;57021;9;0
28750;26;585656;353;208;49020;30045;22;0
28751;15;660133;122;242;30431;50556;22;0
28752;2;401000;26;299;24640;56903;2;0
28753;5;268000;27;171;24640;55875;0;0
28754;3;137333;14;98;26741;60636;4;0
28755;4;159750;5;170;31058;75078;3;0
28756;2;165000;4;110;37195;80135;0;0
28760;48;702779;1185;220;64729;21234;23;4
28770;123;454571;284;180;42989;27882;85;0
28791;32;572041;212;222;42534;37674;13;0
28792;39;417218;110;230;31452;42786;10;0
28794;30;384057;104;168;29792;40868;11;0
28801;14;472671;11149;145;34043;29417;81;0
28802;36;240014;4600;131;24778;28138;105;0
28803;35;201325;2754;91;27910;28717;56;0
28804;214;346017;1846;166;57296;31722;76;0
28805;56;390186;1887;158;44672;31204;50;0
28806;92;381672;1641;151;37057;29273;102;0
28807;30;399745;28935;189;30458;29650;53;0
28810;52;426457;406;230;36885;33617;11;0
28812;9;105556;24;160;26102;43501;4;0
28813;28;495594;121;191;30177;31163;17;0
28814;28;352012;239;158;40699;25326;29;0
28815;18;321389;47;208;29673;35972;9;0
28816;43;269825;167;148;32445;31455;24;0
28817;10;221460;75;185;31548;39431;4;0
28818;7;238557;44;144;26520;38619;8;0
28821;20;368460;7854;140;34486;11570;47;0
28822;27;398111;6335;157;36982;13016;93;0
28823;9;225700;6087;81;31824;13649;36;0
28830;68;364521;1028;146;33880;15023;44;3
28840;56;326040;1312;177;30940;18721;23;0
28850;185;336273;4132;120;33631;20728;130;0
28860;71;551280;727;220;46978;18259;23;0
28861;6;1059750;292;296;69341;17240;1;0
28862;1;400000;22;299;48111;20733;1;0
28863;35;536689;362;201;48380;23698;12;0
28864;5;315800;241;102;34723;22977;9;0
28880;20;585470;414;175;37141;35131;14;0
28890;12;274833;201;121;31517;25058;14;0
28891;28;256825;860;103;31467;19005;13;0
28901;65;307746;21361;107;29054;12835;43;0
28902;21;258643;32405;85;29590;11972;31;0
28903;64;325022;16899;112;29260;11450;90;0
28904;16;242337;22148;80;27895;12217;45;0
28905;11;524083;5099;188;48465;14352;26;0
28906;12;449536;467;138;35754;12710;2;0
28907;23;520077;9878;166;37004;10905;30;0
28909;7;555714;220;220;33171;11179;13;0
28911;28;265371;29994;94;30537;11417;85;0
28912;20;223273;33263;89;27127;10854;64;0
28913;15;196853;24398;77;24300;10945;6;0
28914;29;342182;1257;136;38434;12532;59;0
28915;6;176667;35632;63;27828;10035;43;0
28916;13;265238;6742;98;33651;9279;42;0
28917;26;327759;12638;101;30045;9268;24;0
28918;20;443235;2255;117;41297;10632;24;0
28919;6;413815;2255;144;34152;8953;9;0
28921;57;238768;52127;89;27027;13043;78;0
28922;203;365743;2962;187;43441;14389;118;0
28923;8;276686;12545;83;32368;12445;54;0
28924;17;408053;26902;111;35434;11991;61;0
28925;14;370643;2814;112;40633;11440;41;0
28931;10;228460;34866;81;26650;16983;61;0
28932;12;347659;25132;137;31824;16421;23;0
28933;23;395909;10788;126;34664;17063;52;0
28934;15;198067;36782;87;26322;17815;24;0
28935;77;408538;1525;189;38029;21065;45;0
28936;22;327100;10640;105;28159;16890;48;0
28937;17;269282;39394;93;26045;16688;66;0
28938;24;335792;4356;133;31210;18067;65;0
28939;91;509806;1150;228;41101;23892;49;0
28941;17;367445;26286;115;30034;16026;63;0
28942;45;530840;3868;148;31426;16895;62;0
28943;6;206000;30081;81;28656;17193;43;0
28944;40;267413;11338;98;27453;16996;79;0
28945;38;317717;12978;109;27851;15900;95;0
28946;1;270000;134;80;26023;15924;1;0
28947;1;730000;171;185;21725;16894;0;0
28950;17;356510;167;145;32919;21759;8;0
28970;52;264433;1015;112;26887;20668;35;0
28971;31;418467;611;218;37323;25869;18;0
28976;3;330000;55;280;33600;29672;6;0
28977;3;364267;716;196;30883;29162;6;0
28978;36;428609;504;200;34050;27660;15;0
28979;46;1176815;324;294;35828;27516;12;0
28981;65;231677;4443;123;28019;20818;60;0
28982;55;222428;28026;106;25292;20648;63;0
28983;36;313781;3209;142;31269;21596;30;0
28990;8;516174;85;169;32119;26009;3;0
28991;13;345677;998;179;33234;25550;11;0
