id;precio;metros_cuadrados_utiles;numero_baNos;numero_habitaciones;planta;antigUedad;aire_acondicionado_Si;ascensor_Si;piscina_Si;trastero_Si;garaje_Si;balcon_Si;jardin_Si;armarios_Si;poblacion_km2;renta_media_hogar;distancia_centro_Madrid_m;pois_comunitarios;pois_BigBusiness
5645;485000;83;1;3;4;135;True;False;False;False;False;False;False;False;55;20619;64288;11;0
6119;950000;95;2;2;2;28;True;True;False;False;False;False;False;True;55;20619;64288;11;0
6540;990000;105;2;2;2;125;True;True;False;False;False;True;False;True;55;20619;64288;11;0
18507;42900;55;1;1;1;46;False;False;False;True;False;False;False;False;55;20619;63921;11;0
18528;50000;153;1;4;1;35;False;False;False;True;False;True;False;False;55;20619;63493;2;0
18544;150000;140;2;4;2;45;False;False;False;True;False;True;False;True;55;20619;63833;1;0
18547;120000;115;1;3;1;46;False;False;False;False;False;False;False;False;55;20619;63600;11;0
18552;145000;124;2;4;1;21;False;False;True;False;False;False;True;True;376;20619;64999;0;0
18577;475000;201;2;3;1;16;True;False;False;True;True;False;True;True;55;20619;64031;11;0
18601;86000;141;2;3;0;46;False;False;False;False;False;False;False;False;55;20619;63784;11;0
18648;160000;110;1;4;1;45;False;False;True;True;False;False;True;False;55;20619;64031;11;0
18649;185000;138;2;3;1;21;False;False;False;False;True;False;False;True;376;20619;65023;0;0
18650;125000;66;1;3;0;19;False;False;False;True;False;False;True;False;55;20619;64031;11;0
18665;150000;151;3;5;1;20;False;False;False;False;False;False;False;False;55;20619;64031;11;0
18666;150000;41;1;3;0;35;False;False;False;False;False;False;False;False;55;20619;63493;2;0
18679;152300;80;1;3;1;27;False;False;False;False;False;False;False;False;55;20619;64031;11;0
18708;47000;68;1;2;0;85;False;False;False;False;False;False;False;False;55;20619;63901;11;0
18740;84000;108;1;4;2;46;False;False;False;False;False;False;False;False;55;20619;63784;11;0
18776;98000;54;1;2;1;46;False;False;False;False;False;False;True;False;55;20619;64031;11;0
18784;120000;75;1;3;1;45;False;False;True;True;False;False;True;False;55;20619;64938;1;0
18788;132000;94;2;3;0;16;True;False;True;False;True;False;False;False;55;20619;64031;11;0
18813;280000;304;3;5;0;46;True;False;True;True;True;True;True;True;55;20619;64031;11;0
18816;159000;160;2;3;1;18;True;False;True;True;True;False;True;True;55;20619;64031;11;0
18817;150000;174;3;3;1;19;False;False;False;False;True;False;False;False;55;20619;63784;11;0
18837;150000;151;3;3;0;46;False;False;False;False;False;False;False;False;55;20619;64031;11;0
18867;275000;112;3;3;1;46;True;False;True;True;True;False;True;True;55;20619;64266;11;0
18897;230000;215;1;3;0;22;False;False;True;False;False;True;True;True;376;20619;65036;0;0
18960;197000;200;2;4;0;22;False;False;False;False;False;False;True;True;376;20619;64920;0;0
18973;199999;189;2;4;1;28;False;False;False;False;False;False;False;False;55;20619;64031;11;0
18988;126000;150;2;2;0;46;True;False;False;False;False;False;False;False;55;20619;63905;11;0
18992;280000;287;3;5;0;17;True;False;True;True;True;True;True;True;55;20619;63178;2;0
19034;150000;151;3;3;0;46;False;False;False;True;True;True;True;True;55;20619;64185;11;0
19043;250000;175;3;3;2;0;False;False;True;False;True;False;False;False;55;20619;64403;11;0
