id;latitud;longitud;distancia_metros_sol
9739;40,380748;-3,6562544;5676,33
9740;40,3856462;-3,6567261;5273,89
9741;40,3825193;-3,6669315;4924,75
9742;40,3917125;-3,6642689;4349,6
9743;40,3993657;-3,664381;3847,6
9744;40,3790195;-3,6600461;5598,01
9745;40,3853981;-3,6399207;6427,3
9746;40,29624494;-3,455077725;24965,99
9747;40,3830924;-3,6738828;4524,14
9748;40,3814023;-3,64501396;6337,69
9749;40,384139;-3,6680301;4726,38
9750;40,38040185;-3,637771172;6892,91
9751;40,38924332;-3,657374799;4975,63
9752;40,45565881;-3,711069046;4352,11
9753;40,39033985;-3,666396318;4316,7
9754;40,38414218;-3,629299868;7266,8
9755;40,3826302;-3,671179225;4696,71
9756;40,38853308;-3,670317767;4229,13
9757;40,3925285;-3,6700813;3922,82
9758;40,38642075;-3,667165242;4582,29
9759;40,3876566;-3,663549;4697,08
9760;40,3814786;-3,6693421;4891,74
9761;40,3815908;-3,6546322;5709,08
9762;40,3868601;-3,6591803;5028,78
9763;40,3925285;-3,6700813;3922,82
9764;40,40508589;-3,661938093;3759,65
9765;40,3810309;-3,6317406;7272,96
9766;40,38040185;-3,637771172;6892,91
9767;40,38911215;-3,661342475;4725,9
9768;40,39499873;-3,660509279;4383,97
9769;40,40322826;-3,656868664;4234,3
9770;40,39456181;-3,660638495;4402,17
9771;40,38042849;-3,651926471;5964,6
9772;40,384139;-3,6680301;4726,38
9773;40,39144719;-3,636674392;6330,69
9774;40,3868601;-3,6591803;5028,78
9775;40,379077;-3,66355398;5402,29
9776;40,3995283;-3,6596765;4187,19
9777;40,39191938;-3,645049585;5679,53
9778;40,3810309;-3,6317406;7272,96
9779;40,3868601;-3,6591803;5028,78
9780;40,40508589;-3,661938093;3759,65
9781;40,3974903;-3,6644994;3949,25
9782;40,39293715;-3,67129805;3817,19
9783;40,38921816;-3,670028123;4189,09
9784;40,38201617;-3,670925237;4764,78
9785;40,38661447;-3,657768961;5136,52
9786;40,40075745;-3,651489654;4759,08
