id;latitud;longitud
8822;40,40083821;-3,748481291
8823;40,4092285;-3,736979651
8824;40,413339;-3,724903547
8825;40,40768484;-3,732185253
8826;40,40530689;-3,743622459
8827;40,37377688;-3,776703529
8828;40,37957737;-3,784475066
8829;40,3927779;-3,751733946
8830;40,3845368;-3,75178418
8831;40,40853896;-3,731712733
8832;40,40636242;-3,73152409
8833;40,4068115;-3,734896839
8834;40,37978805;-3,7904755
8835;40,4068115;-3,734896839
8836;40,4068115;-3,734896839
8837;40,3961538;-3,7407268
8838;40,4049978;-3,7538261
8839;40,37784776;-3,773964381
8840;40,40636242;-3,73152409
8841;40,38648552;-3,755165414
8842;40,40235145;-3,745189744
8843;40,38740589;-3,759186972
8844;40,3853744;-3,7574862
8845;40,37978805;-3,7904755
8846;40,3853744;-3,7574862
8847;40,3853744;-3,7574862
8848;40,40768484;-3,732185253
8849;40,38740589;-3,759186972
8850;40,3927779;-3,751733946
8851;40,3927805;-3,7413505
8852;40,39008506;-3,761180513
8853;40,37985621;-3,790688109
8854;40,38740589;-3,759186972
8855;40,3802166;-3,794699
8856;40,33031944;-3,860827182
8857;40,37978805;-3,7904755
8858;40,39626234;-3,748028553
8859;40,39817449;-3,739595202
8860;40,37978805;-3,7904755
8861;40,41181427;-3,727973948
8862;40,4068115;-3,734896839
8863;40,39373786;-3,780562914
8864;40,37784776;-3,773964381
8865;40,40326448;-3,742873931
8866;40,4055102;-3,753340731
8867;40,37978805;-3,7904755
8868;40,40764591;-3,733987212
8869;40,41055074;-3,732288016
8870;40,40235145;-3,745189744
8871;40,457749;-3,7827941
8872;40,42108832;-3,714520224
8873;40,4767654;-3,65907378
8874;40,4350196;-3,719236
8875;40,46080715;-3,778702503
8876;40,4722862;-3,828990487
8877;40,4601462;-3,7966
8878;40,457749;-3,7827941
8879;40,4335363;-3,72282823
8880;40,45908809;-3,794168093
8881;40,4296433;-3,7221178
8882;40,4656604;-3,7775539
8883;40,46249571;-3,726172599
8884;40,4350196;-3,719236
8885;40,46694;-3,78715495
8886;40,42861597;-3,717238651
8887;40,4307266;-3,7161715
8888;40,46694;-3,78715495
8889;40,46694;-3,78715495
8890;40,4350196;-3,719236
8891;40,4710073;-3,8119061
8892;40,4259466;-3,7148806
8893;40,4710073;-3,8119061
8894;40,4712927;-3,749590906
8895;40,46694;-3,78715495
8896;40,4601462;-3,7966
8897;40,4707391;-3,8147577
8898;40,4601462;-3,7966
8899;40,42999989;-3,718367403
8900;40,46694;-3,78715495
